MATNR,MAKTX_EN,MAKTX_FR,MFRNR,MFRPN,normVendors,Z011VendorNo,Z011VendorName,n,weight,N,prob,weightedScore
NA,CABLE CONNECTEUR 2M M12 VALCO 030XX741,CABLE CONTROL 2M M12 VALCO 030XX741,VALCO MELTON,030xx741,VALCO MELTON,NA,NA,NA,NA,NA,NA,NA
NA,CODEUR RETRACTABLE VALCO 030XX827,ENCODER RETRACTIL 2-10FT VALCO 030XX827,VALCO MELTON,030xx827,VALCO MELTON,NA,NA,NA,NA,NA,NA,NA
NA,RACC MALE SCANNER VALCO 061.248,CONNECTOR MALE SCANNER VALCO 061.248,VALCO MELTON,061.248,VALCO MELTON,NA,NA,NA,NA,NA,NA,NA
NA,RACC FEMELLE SCANNER VALCO 061XX216,CONNECTOR FEMALE SCANNER VALCO 061XX216,VALCO MELTON,061xx216,VALCO MELTON,NA,NA,NA,NA,NA,NA,NA
NA,RACC MALE SCANNER VALCO 061XX249,CONNECTOR MALE SCANNER VALCO 061XX249,VALCO MELTON,061xx249,VALCO MELTON,NA,NA,NA,NA,NA,NA,NA
NA,COFFRET COMMANDE VALCO 074XX039,CONTROL UNIT MCP-4F VALCO 074XX039,VALCO MELTON,074xx039,VALCO MELTON,NA,NA,NA,NA,NA,NA,NA
NA,FUSIBLE 2A ACT RET VALCO 085XX017,FUSE 2A SL-BLO VALCO 085XX017,VALCO MELTON,085xx017,VALCO MELTON,NA,NA,NA,NA,NA,NA,NA
NA,FUSIBLE 3.15A TEMPOR VALCO 085XX208,FUSE 3.15A TIME DELAY VALCO 085XX208,VALCO MELTON,085xx208,VALCO MELTON,NA,NA,NA,NA,NA,NA,NA
NA,FUSIBLE 2A CARTE MERE VALCO 085XX220,FUSE MINI 2A MAIN BOARD VALCO 085XX220,VALCO MELTON,085xx220,VALCO MELTON,NA,NA,NA,NA,NA,NA,NA
NA,PANNEAU CTRL ASSEMB MCP-4 VALCO 137XX012,PANEL ASSY FRONT MCP-4 VALCO 137XX012,VALCO MELTON,137xx012,VALCO MELTON,NA,NA,NA,NA,NA,NA,NA
NA,CARTE IMPRIMEE VALCO 151XX457,CIRCUIT BOARD VALCO 151XX457,VALCO MELTON,151xx457,VALCO MELTON,NA,NA,NA,NA,NA,NA,NA
NA,CARTE MERE VALCO 151XX625,MAIN BOARD VALCO 151XX625,VALCO MELTON,151xx625,VALCO MELTON,NA,NA,NA,NA,NA,NA,NA
NA,ELECTROVANNE AIR 3V VALCO 411XX434,VALCE SOLENOID AIR 3W VALCO 411XX434,VALCO MELTON,411xx434,VALCO MELTON,NA,NA,NA,NA,NA,NA,NA
NA,TIROIR VALVE VALCO 583XX258,SLIDE BEARING VALVE VALCO 583XX258,VALCO MELTON,583xx258,VALCO MELTON,NA,NA,NA,NA,NA,NA,NA
NA,CARTOUCHE VALVE VALCO 583XX601,CARTRIDGE ASSY VALVE VALCO 583XX601,VALCO MELTON,583xx601,VALCO MELTON,NA,NA,NA,NA,NA,NA,NA
NA,REGULATEUR PRESSION VALCO 593XX408,REGULATOR PRESSURE VALCO 593XX408,VALCO MELTON,593xx408,VALCO MELTON,NA,NA,NA,NA,NA,NA,NA
NA,CORPS REDRESSEUR VALCO 593XX411,BOWL ASSY  VALCO 593XX411,VALCO MELTON,593xx411,VALCO MELTON,NA,NA,NA,NA,NA,NA,NA
NA,APPLICATEUR COLLE 1PO VALCO 661XX005,APPLICATOR GLUEHEAD 1IN VALCO 661XX005,VALCO MELTON,661xx005,VALCO MELTON,NA,NA,NA,NA,NA,NA,NA
