MATNR,MAKTX_EN,MAKTX_FR,MFRNR,MFRPN,normVendors,Z011VendorNo,Z011VendorName,n,weight,N,prob,weightedScore
NA,APPLICATEUR COLLE 1.5PO VALCO 661XX007,APPLICATOR GLUEHEAD 1.5IN VALCO 661XX007,VALCO MELTON,661xx007,VALCO MELTON,NA,NA,NA,NA,NA,NA,NA
NA,APPLICATEUR COLLE 2PO VALCO 661XX009,APPLICATOR GLUEHEAD 2IN VALCO 661XX009,VALCO MELTON,661xx009,VALCO MELTON,NA,NA,NA,NA,NA,NA,NA
NA,APPLICATEUR COLLE 2.5PO VALCO 661XX011,APPLICATOR GLUEHEAD 2.5IN VALCO 661XX011,VALCO MELTON,661xx011,VALCO MELTON,NA,NA,NA,NA,NA,NA,NA
NA,ELECTROVANNE COLLE VALCO 704XX874,VALVE SOLENOID GLUE ASSY VALCO 704XX874,VALCO MELTON,704xx874,VALCO MELTON,NA,NA,NA,NA,NA,NA,NA
NA,KIT ENTRETIEN VALVE VALCO 704XX968,MAINTENANCE KIT VALVE VALCO 704XX968,VALCO MELTON,704xx968,VALCO MELTON,NA,NA,NA,NA,NA,NA,NA
NA,KIT REPARATION VALVE VALCO 707XX443,REPAIR KIT VALVE VALCO 707XX443,VALCO MELTON,707xx443,VALCO MELTON,NA,NA,NA,NA,NA,NA,NA
NA,JOINT TORIQUE CAP FILTRE VALCO 745XX059,O-RING FILTER CAP VALCO 745XX059,VALCO MELTON,745xx059,VALCO MELTON,NA,NA,NA,NA,NA,NA,NA
NA,EMBOUT TOURN FM 10/PK VALCO 750XX020,SWIVEL FEMALE 10/PK VALCO 750XX020,VALCO MELTON,750xx020,VALCO MELTON,NA,NA,NA,NA,NA,NA,NA
NA,EMBOUT TOURNANT ML 10/PK VALCO 750XX022,SWIVEL MALE 10/PK VALCO 750XX022,VALCO MELTON,750xx022,VALCO MELTON,NA,NA,NA,NA,NA,NA,NA
NA,BOUCHON MALE 10/PK VALCO 750XX024,STOPPER MALE 10/PK VALCO 750XX024,VALCO MELTON,750xx024,VALCO MELTON,NA,NA,NA,NA,NA,NA,NA
NA,RACC ADAPTATEUR ASSEMB VALCO 752XX036,FITTING ADAPTER ASSY VALCO 752XX036,VALCO MELTON,752xx036,VALCO MELTON,NA,NA,NA,NA,NA,NA,NA
