blank,Material,Plant,Material Description,MRP Type,Valuation Class,Material Group,Base Unit of Measure,Price Unit,Price Control,Price,Material Type,Last Change,Created by
,90017859,2241,DBL RW BALL BRG TIMKEN/38PP2 Z1 FS 50160,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017860,2241,SPRING VALVE PIL SANDPIPER/780.027.025,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017861,2241,PILOT VALVE/ASSY SANDPIPER/095.071.557,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017862,2241,BODY/AIR DISTR V SANDPIPER/095.051.557,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017863,2241,CAP/DISTR VALVE SANDPIPER/165.038.558,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017864,2241,OIL SEAL 2IDX.375W IN DMR/S20027537AS,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017865,2241,HYDRAULIC VALVE CROSS BA3111AAAF3EA0,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017866,2241,PUMP GEAR SALAMI/2PE11.3D-R82S2,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017867,2241,BELT V CONTITECH/C90,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017868,2241,BRNGN LOCK NUT KW METRIC SKF/KM 6,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017869,2241,SPANNER WRENCH SKF/HN 5-6,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017870,2241,V SHAFT SEAL 65MM DMR/V-65,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017871,2241,FLTR AIR SMC PNEU/AF40-N04-Z-A,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017872,2241,RGL PRES AIR SMC PNEU/AR20-N02-Z-B,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017873,2241,VLV SLD AIR CTRL SMC PN/VFS3400-5FZ-03T,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017874,2241,VLV SLD AIR CTRL SMC PN/VFS3420-5DZ-03T,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017875,2241,VLV PRESS RELIEF SMC PN/VHS40-F04B,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017876,2241,VLV SLD AIR CTRL SMC PN/NVFS3110-3DZ,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017877,2241,VLV SLD AIR CTRL SMC PN/VFS3300-5FZ-03T,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017878,2241,KIT FLNG CPLG ACCY LOVEJOY/69790400214,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017879,2241,TAPERED ROLLER BRNG TIMKEN/JM511946,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017880,2241,SEAL V 3.46X.433 SKF/CR400900,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017881,2241,BRGN THR BALL SCHAEFFLER/W1-1/4,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017882,2241,BRG LINEAR BALL SCHAEFFLER/KH20-PP,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017883,2241,BUSHING SELF-LUBRIC DAEMAR/MB121412-TH,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017884,2241,TORQUE LMTR REGAL B PWR/350A-1 TL 7/8 FB,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017885,2241,DBL SPRK 18T MARTIN/D50B18H,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
