blank,Material,Plant,Material Description,MRP Type,Valuation Class,Material Group,Base Unit of Measure,Price Unit,Price Control,Price,Material Type,Last Change,Created by
,90017632,2241,SWITCH SLC 3POS RMR CAM ROCKW/800T-J2KC1,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017633,2241,FUSE J FAST 70A 600V FERRAZ S/A4J70,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017634,2241,FUSE J FAST 90A 600V FERRAZ S/A4J90,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017635,2241,FUSE J FAST 125A 600V FERRAZ S/A4J125,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017636,2241,FUSSE RK5 DELAY 80A 600V FERRAZ S/TRS80R,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017637,2241,FUSE RK1 FAST 70A 600V FERRAZ S/A6K70R,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017638,2241,FUSSE RK5 DLY 100A 600V FERRAZ S/TRS100R,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017639,2241,FUSSE RK5 DL 100A IND FERRAZ S/TRS100RID,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017640,2241,FUSE SMCDT 500V 150A FERRAZ S/A50QS150-4,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017641,2241,FUSE SMCDT 500V 300A FERRAZ S/A50QS300-4,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017642,2241,FUSE SMCDT 500V 125A FERRAZ S/A50QS125-4,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017643,2241,FUSE J FAST 200A 600V FERRAZ S/A4J200,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017644,2241,FUSSE RK5 DLY 125A 600V FERRAZ S/TRS125R,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017645,2241,FUSSE RK5 DL 150A IND FERRAZ S/TRS150RID,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017646,2241,FUSSE RK5 DLY 150A 600V FERRAZ S/TRS150R,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017647,2241,FUSSE RK5 DL 175A IND FERRAZ S/TRS175RID,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017648,2241,FUSE J FAST 225A 600V FERRAZ S/A4J225,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017649,2241,FUSE J FAST 400A 600V FERRAZ S/A4J400,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017650,2241,FUSE RK1 FAST 225A 600V FERRAZ S/A6K225R,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017651,2241,FUSE RK1 FAST 300A 600V FERRAZ S/A6K300R,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017652,2241,FUSE RK1 FAST 350A 600V FERRAZ S/A6K350R,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017653,2241,FUSSE RK5 DLY 300A 600V FERRAZ S/TRS300R,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017654,2241,FUSSE RK5 DL 300A IND FERRAZ S/TRS300RID,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017655,2241,FUSE L 1000A 600V FERRAZ S/A4BY1000,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017656,2241,FUSSE CC DELAY 1A 600V FERRAZ S/ATQR1,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017657,2241,FUSSE CC DELAY 6A 600V FERRAZ S/ATQR6,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017658,2241,FUSSE CC DELAY 25A 600V FERRAZ S/ATQR25,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017659,2241,FUSSE CC FST 1A 600V FERRAZ S/ATMR1,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017660,2241,FUSSE CC FST 8A 600V FERRAZ S/ATMR8,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017661,2241,FUSSE CC FST 25A 600V FERRAZ S/ATMR25,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017662,2241,FUSSE CC DELAY 2A 600V FERRAZ S/ATQR2,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017663,2241,FUSSE CC DELAY 30A 600V FERRAZ S/ATQR30,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017664,2241,FUSSE CC FST 2A 600V FERRAZ S/ATMR2,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017665,2241,FUSSE CC FST 10A 600V FERRAZ S/ATMR10,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017666,2241,FUSSE CC FST 30A 600V FERRAZ S/ATMR30,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017667,2241,FUSS CC DLY 2.5A 600V FERRAZ S/ATQR2-1/2,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017668,2241,FUSSE CC DELAY 15A 600V FERRAZ S/ATQR15,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017669,2241,FUSSE CC FST 15A 600V FERRAZ S/ATMR15,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017670,2241,FUSSE CC DELAY 20A 600V FERRAZ S/ATQR20,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017671,2241,FUSSE CC FST 6A 600V FERRAZ S/ATMR6,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017672,2241,FUSSE MIDG DLY .4A 250V FERRAZ S/GFN4/10,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017673,2241,AUXILIARY CONTACT BLOCK STRAPCO / ME4057,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017674,2241,BRUSHLESS MOTOR CONTROL STRAPCO / ME2213,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017675,2241,PROX SENSOR STRAPCO / ME2074,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017676,2241,FUSES STRAPCO / ME4519,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017677,2241,FUSE STRAPCO / ME1693,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017678,2241,CONVEYOR DRIVE BELT STRAPCO / NT3568,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017679,2241,SHORT CONVEYOR BELT STRAPCO / NT3793,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017680,2241,V-BELT STRAPCO / NT1365,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017681,2241,COMPRESSION SPRING STRAPCO / NT3546,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017682,2241,SPRING COMPRESION STRAPCO / NT1240,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017683,2241,SPRING TENSION STRAPCO / NT2683,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017684,2241,TENSION SPRING STRAPCO / NT562,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017685,2241,SPRING COMPRESSION STRAPCO / NT784,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017686,2241,SPRING STRAPCO / NT3479,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017687,2241,TENSION SPRING STRAPCO / NT696,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017688,2241,KNIFE STRAPCO / 4101-300300-21,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017689,2241,LEAF SPRING STRAPCO / 2902-011900-12,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017690,2241,RELAY STRAPCO / ME2404,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017691,2241,BEARING STRAPCO / NT156,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017692,2241,BEARING STRAPCO / NT46,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017693,2241,BEARING STRAPCO / NT1961,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017694,2241,TRANSFER ROLLER STRAPCO / 3109-160421-01,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017695,2241,NYLON BUSHING STRAPCO / 0660-680300-12,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017696,2241,FUSE 2.5A STRAPCO / ME549,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017697,2241,FAN CEILING  120V BANVIL 2000/FP56R,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017698,2241,TIMER MULTIFUNCTION CARLO GAV/PMC01D115,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017699,2241,RELAY FLIP-FLOP 115VAC CARLO G/SL150115,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017700,2241,FUSE BLOCK R 3P 600V 30A FERRAZ S/60308R,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017701,2241,FUSE BLOCK HK 3P 600V 30A FERRAZ S/60303,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017702,2241,FUSE BLCK CC 1P 600V 30A FERRAZ S/USCC1I,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017703,2241,PWR DIST BLK 3P 135A FERRAZ S/MPDB63133,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017704,2241,FUSE BLOCK HK 1P 250V 30A FERRAZ S/20321,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017705,2241,FUSE CLIP 60A ILSCO/M-164,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017706,2241,MECH LOAD BALNC ASS ALLEN B/40410-326-52,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017707,2241,PROTECTION GUARD LINEMASTER/522-B12,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017708,2241,BUTTON RST OVERLOAD RELAY ROCKW/1493-N1,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017709,2241,PHOTOSWITCH RELAY ROCKWELL/8-670,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017710,2241,PHOTOSWITCH RELAY ROCKWELL/8-530,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017711,2241,PHOTOSWITCH RELAY ROCKWELL/8-485,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017712,2241,PENDANT STATN 2BTTN NO NC HUBBELL/CPB20,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017713,2241,FUSSE ELEC FAST 2A 250V FERRAZ S/GGC2,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017714,2241,FUSE J FAST 250A 600V FERRAZ S/A4J250,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017715,2241,FUSS RK5 DELAY 175A 250V FERRAZ S/TR175R,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017716,2241,JACK MODULE CAT5 PANDUIT/NK5E88MWHY,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017717,2241,SURFACE BOX PANDUIT/CBXJ2WH-A,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017718,2241,CABLE REPLACEMENT ROCKW/ 1747-C11,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017719,2241,BATTERY 12V DURACELL/MN21,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017720,2241,BATTERY LITHIUM ROCKW/1770-XYC,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017721,2241,FUSSE 125A 690V FERRAZ S/BS000GB69V125,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017722,2241,FUSSE 160A 690V FERRAZ S/BS000UB69V160,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017723,2241,LIMIT SWITCH HEAD SCHNEIDER/ZCKE05,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017724,2241,ENCODER ROCKW/845G-NXC7983-F-8,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017725,2241,SWITCH FOOT OPERATED LINEMASTER/531-SWN,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017726,2241,HOLE SEAL STEEL GREY 1.5 HOFFMAN/ASPB,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017727,2241,LUG MECHAN CU 2-8AWG 1/4IN ILSCO/SLU-70,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017728,2241,CONNECTOR MECH AL-CU 14AWG-2STR BLACKB,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017729,2241,CONNECTOR MECH AL-CU 14AWG-2/0STR BLACKB,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017730,2241,CONNECTOR MECH AL-CU 6STR-250KCMI BLACKB,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017731,2241,CONNECTOR COMPRESS SHORT BLACKBURN/CSP8,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017732,2241,CONNECTOR COMPRESS LNG BLACKBURN/CU250,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017733,2241,LUG TERMINAL 1AWG COLORKEYED/54147,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017734,2241,ELECTR HORN IND 112DB ROCKW/855H-BA10CD,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017735,2241,BEACON ROT HAL RED EDWARDS/52CR-N5-40WH,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017736,2241,GONG 4IN FEDERAL SIGNAL/A4,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017737,2241,FIRE ALARM BELL EDWARDS/MB10-24,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017738,2241,FIRE ALARM MNL STATN EDWARDS/270-SPOWB,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017739,2241,STROBE WRNG LGT RD FEDERAL S/141ST-120R,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017740,2241,VIBRATING BELL MECH FEDERAL S/500-120-1,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017741,2241,HORN 120VAC FEDERAL SIGNAL/350-120-30,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017742,2241,STROBE BEACN 115V AMB ROCKW/855B-GMS10R5,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017743,2241,LIGHT-LEV PHOTOCTRL 347V PHILIPS/P150W,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017744,2241,PHOTOCONTROL 1800VA PRECISION M/ST347,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017745,2241,PHOTOCELL FP OUTDOOR/7793EPS,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017746,2241,PHOTOCONTROL 1000VA PRECISION M/A347,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017747,2241,PHOTOCONTROL 1100VA PRECISION M/A105,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017748,2241,FREQUENCY CONVERTER ROCKW/931S-F1C2D-DC,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017749,2241,LAMP MET HALIDE ED37 400W PHILIPS/274498,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017750,2241,SURFACE MOUNT ROCKWELL/855T-BCBC,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017751,2241,STROBE TUBE FEDERAL SIGNAL/K8107178A,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017752,2241,LAMP LED 24V AMBER ROCKW/855E-LL24A,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017753,2241,STANDARD BASE MOD BLACK ROCKW/855E-BCB,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017754,2241,LIGHT MOD 120VLED AMBER ROCKW/855E-10TL5,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017755,2241,LAMP LED 120V AMBER ROCKW/855E-LL10A,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017756,2241,LAMP LED 24V RED ROCKW/855E-LL24R,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017757,2241,LAMP LED 24V BLUE ROCKW/855E-LL24B,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017758,2241,LAMP LED 120V BLUE ROCKW/855E-LL10B,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017759,2241,SOUND MOD 120V D-CRCT ROCKW/855E-B10TA3,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017760,2241,BULB BEACONT ROT EDWARDS/46161-0125,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017761,2241,LIGHT MDL FLSH DEL RED ROCK/ 855T-B24GL4,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017762,2241,LIGHT MDL FLSH DEL AMB ROCK/ 855T-B24GL5,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017763,2241,LIGHT MDL STRB AMBER ROCKW/ 855T-B24BR5,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017764,2241,LIGHT MDL STDY INC GR ROCKW/ 855T-B24DN3,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017765,2241,LIGHT MDL STDY INC AMB ROCK/ 855T-B10DN5,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017766,2241,LIGHT MDL STDY INC BL ROCKW/ 855T-B10DN6,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017767,2241,LIGHT MDL STDY INC GR ROCKW/ 855T-B10DN3,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017768,2241,LIGHT MDL FLSH INC AMB ROCK/ 855T-B10FN5,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017769,2241,LIGHT MDL STRB CLEAR ROCKW/ 855T-B10BR7,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017770,2241,SOUND MDL DUAL-TONE ROCKW/ 855T-B10TA1,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017771,2241,SOUND MDL DUAL-TONE ROCKW/ 855T-B24TA1,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017772,2241,POLE MOUNT BS 10CM CAP ROCKW/855T-BPM10C,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017773,2241,LAMP T3.25 14V 0.27A STANDARD PROD/50368,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017774,2241,FUSS MIDG DL 2.8A 250 FERRAZ S/GFN2-8/10,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017775,2241,FUSSE MIDGET FST 5A 600V FERRAZ S/ATM5,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017776,2241,FUSSE MIDGET FST 1A 600V FERRAZ S/ATM1,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017777,2241,FUSE T FAST 3A 600V FERRAZ S/A6T3,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017778,2241,FUSSE MIDG DLY .6A 250V FERRAZ S/GFN6/10,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017779,2241,FUSSE MIDGET DLY 3A 250V FERRAZ S/GFN3,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017780,2241,FUSSE MIDGET FST 8A 600V FERRAZ S/ATM8,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017781,2241,FUSSE MIDGET FST 30A 600V FERRAZ S/ATM30,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017782,2241,FUSE FORKLIFT 6A 125V FERRAZ S/ACK6,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017783,2241,FUSSE MIDGET FST 3A 600V FERRAZ S/ATM3,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017784,2241,FUSSE MIDGET DLY 1A 250V FERRAZ S/GFN1,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017785,2241,FUSSE MIDGET DLY 2A 250V FERRAZ S/GFN2,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017786,2241,FUSSE MIDGET DLY 5A 250V FERRAZ S/GFN5,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017787,2241,FUSSE MIDGET FST 4A 600V FERRAZ S/ATM4,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017788,2241,FUSSE MIDGET FST 15A 600V FERRAZ S/ATM15,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017789,2241,FUSSE MIDG FS 30A 600V FERRAZ S/ATM30/50,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017790,2241,FUSE T FAST 60A 300V FERRAZ S/A3T60,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017791,2241,FUSSE ELEC DLY 5A 250V FERRAZ S/GDG5,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017792,2241,FUSSE RK5 DELAY 1A 250V FERRAZ S/TR1R,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017793,2241,FUSSE RK5 DELAY 4A 250V FERRAZ S/TR4R,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017794,2241,FUSSE D DELAY 40A 250V FERRAZ S/CRN40,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017795,2241,FUSSE P FST 6A 250V FERRAZ S/NRN6,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017796,2241,FUSSE RK5 DELAY 5A 250V FERRAZ S/TR5R,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017797,2241,FUSSE ELEC DLY 20A 250V FERRAZ S/GDG10,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017798,2241,FUSS RK5 DL 1.6A 250V FERRAZ S/TR1-6/10R,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017799,2241,FUSSE RK5 DELAY 8A 250V FERRAZ S/TR8R,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017800,2241,FUSSE P FST 30A 250V FERRAZ S/NRN30,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017801,2241,FUSSE K5 FST 5A 250V FERRAZ S/OT5,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017802,2241,FUSS RK5 DL 3.2A 250V FERRAZ S/TR3-2/10R,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017803,2241,FUSSE D DELAY 15A 250V FERRAZ S/CRN15,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017804,2241,FUSSE RK5 DELAY 20A 250V FERRAZ S/TR20R,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017805,2241,FUSSE ELEC FAST 3A 250V FERRAZ S/GGC3,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017806,2241,FUSSE ELEC FAST 4A 125V FERRAZ S/GGM4,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017807,2241,FUSSE ELEC DLY .25A 250V FERRAZ S/GDL1/4,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017808,2241,FUSSE ELC FAST .75A 250V FERRAZ S/GGC3/4,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017809,2241,FUSSE ELEC FAST 4A 250V FERRAZ S/GGC4,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017810,2241,FUSSE ELEC FST 15A 250V FERRAZ S/GAB15,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017811,2241,FUSSE ELEC FAST 1A 250V FERRAZ S/GGC1,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017812,2241,FUSSE ELEC FAST 2A 250V FERRAZ S/GGM2,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017813,2241,FUSSE ELEC DLY 8A 250V FERRAZ S/GDL8,PD,3040,U31162313,EA,1,V,0.01,ZER2,2018-11-05,U362KBOU
,90016453,2241,RLMNT BILLE RADIAL SKF CANADA/6207-2Z/C3,PD,3040,U31162313,EA,1,V,0.01,ZER2,2018-10-31,U362KBOU
,90016454,2241,DEEP GROVE BALL BRNG SKF/6300,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90016455,2241,DEEP GROVE BALL BRNG SKF/6304-2RSH,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90016456,2241,DEEP GROVE BALL BRNG SKF/6306,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90016457,2241,DEEP GROVE BALL BRNG SKF/6306-2Z/C3,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90016458,2241,DEEP GROVE BALL BRNG SKF/6309-2RS1,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90016459,2241,DEEP GROVE BALL BRNG SKF/6310-2RS1,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90016460,2241,DEEP GROVE BALL BRNG SKF/6308-2RS1,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90016461,2241,DEEP GROVE BALL BRNG SKF/6308-2RS1/C3,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90016462,2241,DEEP GROVE BALL BRNG SKF/6311-2RS1,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90016463,2241,ANG BALL BRNG SR SKF/7205 BECBY,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90016464,2241,ANG BALL BRNG DR SCHAEFFL/3200BB-2ZR-TVH,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90016465,2241,ANG BALL BRNG DR SKF/3201 ATN9,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
