Material,Plant,TotalStock
90000289,1715,0.000
90000290,1715,1.000
90000291,1715,0.000
90000292,1715,1.000
90000293,1715,0.000
90000294,1715,0.000
90000295,1715,1.000
90000296,1715,1.000
90000297,1715,1.000
90000298,1715,1.000
90000299,1715,0.000
90000300,1715,0.000
90000301,1715,0.000
90000302,1715,1.000
90000303,1715,1.000
90000304,1715,0.000
90000305,1715,1.000
90000306,1715,0.000
90000307,1715,2.000
90000308,1715,0.000
90000309,1715,0.000
90000310,1715,0.000
90000311,1715,0.000
90000312,1715,0.000
90000313,1715,1.000
90000314,1715,0.000
90000315,1715,0.000
90000316,1715,1.000
90000317,1715,1.000
90000318,1715,0.000
90000319,1715,2.000
90000320,1715,0.000
90000321,1715,1.000
90000322,1715,0.000
90000323,1715,1.000
90000324,1715,1.000
90000325,1715,0.000
90000326,1715,0.000
90000327,1715,0.000
90000328,1715,2.000
90000329,1715,1.000
90000330,1715,1.000
90000331,1715,0.000
90000332,1715,1.000
90000333,1715,1.000
90000334,1715,1.000
90000335,1715,1.000
90000336,1715,0.000
90000337,1715,1.000
90000338,1715,0.000
90000339,1715,0.000
90000340,1715,0.000
90000341,1715,0.000
90000342,1715,0.000
90000343,1715,0.000
90000344,1715,0.000
90000345,1715,1.000
90000346,1715,1.000
90000347,1715,1.000
90000348,1715,0.000
90000349,1715,0.000
90000350,1715,0.000
90000351,1715,0.000
90000352,1715,1.000
90000353,1715,0.000
90000354,1715,0.000
90000355,1715,0.000
90000356,1715,0.000
90000357,1715,0.000
90000358,1715,0.000
90000359,1715,1.000
90000360,1715,1.000
90000361,1715,1.000
90000362,1715,1.000
90000363,1715,1.000
90000364,1715,0.000
90000365,1715,0.000
90000366,1715,1.000
90000367,1715,1.000
90000368,1715,1.000
90000369,1715,1.000
90000370,1715,1.000
90000371,1715,1.000
90000372,1715,0.000
90000373,1715,2.000
90000374,1715,1.000
90000375,1715,1.000
90000376,1715,43.000
90000377,1715,1.000
90000378,1715,1.000
90000379,1715,1.000
90000380,1715,1.000
90000381,1715,1.000
90000382,1715,1.000
90000383,1715,1.000
90000384,1715,1.000
90000385,1715,1.000
90000386,1715,2.000
90000387,1715,2.000
90000388,1715,1.000
90000389,1715,0.000
90000390,1715,0.000
90000391,1715,1.000
90000392,1715,1.000
90000393,1715,0.000
90000394,1715,1.000
90000395,1715,1.000
90000396,1715,1.000
90000397,1715,1.000
90000398,1715,0.000
90000399,1715,0.000
90000400,1715,0.000
90000401,1715,0.000
90000402,1715,0.000
90000403,1715,0.000
90000404,1715,0.000
90000405,1715,0.000
90000406,1715,0.000
90000407,1715,0.000
90000408,1715,0.000
90000409,1715,0.000
90000410,1715,0.000
90000411,1715,0.000
90000412,1715,0.000
90000413,1715,0.000
90000414,1715,0.000
90000415,1715,2.000
90000416,1715,1.000
90000417,1715,1.000
90000418,1715,0.000
90000419,1715,8.000
90000420,1715,1.000
90000421,1715,1.000
90000422,1715,0.000
90000423,1715,2.000
90000424,1715,0.000
90000425,1715,1.000
90000426,1715,0.000
