"Material";"Plant";"Material Description";"HasStock";"DUPLICATE_REFERENCE";"MANUFACTURER/VENDOR";"PART_NUMBER";"M";"Utopia_OEMFlag";"Z011_NotOEM";"count(Characteristic Value)";"maximum(Criticality)";"count(BOM Usg)";"CLASS";"MFRPN";"MFRNR";"Class1";"Class2";"Fournisseur";"Priority"
90017842;2241;"NON-RETURN VALVE AVENTIS/5340051000";;;;;;;;;;;;;;;;;0
90017843;2241;"DR VALVE REXROTH/4WE6W6X/EG24N9K4/62=CSA";;;;;;;;;;;;;;;;;0
90017844;2241;"FUSE HYDRAULIC HAWE HYD/6900 0133-01.HW";;;;;;;;;;;;;;;;;0
90017845;2241;"BRGN BLL AIRFRM CTRL RBC/KP3AR11-2 FS428";;;;;;;;;;;;;;;;;0
90017846;2241;"BRGN BALL HEX-BORE INTELLIGRATED/B1100-1";;;;;;;;;;;;;;;;;0
90017847;2241;"BRGN GROOVE BALL ROD ENDS M/S8602-88";;;;;;;;;;;;;;;;;0
90017848;2241;"BRGN BALL RADIAL KOYO/68192RU";;;;;;;;;;;;;;;;;0
90017849;2241;"EXHAUST VALVE AVENTIS/7472ZZ4120";;;;;;;;;;;;;;;;;0
90017850;2241;"SPROKET 35T MARTIN/50B32";;;;;;;;;;;;;;;;;0
90017851;2241;"DIRECT VALVE YUKEN/DSG-01-3C2-D24-N-7090";;;;;;;;;;;;;;;;;0
90017852;2241;"PNEUMATIC LUBRICATOR AVENTIS/821301500";;;;;;;;;;;;;;;;;0
90017853;2241;"BRGN INSERT BLL STSCRW REGAL B PWR/2-09";;;;;;;;;;;;;;;;;0
90017854;2241;"BRGN INSERT BLL SMART SUPPLIES/UCC205";;;;;;;;;;;;;;;;;0
90017855;2241;"UNT RLMNT LNR SKF/LUCF 30-2LS";;;;;;;;;;;;;;;;;0
90017856;2241;"MECH CLUTCH FORMSPRAG CL/CL42156-89GR";;;;;;;;;;;;;;;;;0
90017857;2241;"CARTRIDGE VALVE 3W SIGNODE S/424550";;;;;;;;;;;;;;;;;0
90017858;2241;"GUIDE EXT SIGNODE SERVICE/423956";;;;;;;;;;;;;;;;;0
90017859;2241;"DBL RW BALL BRG TIMKEN/38PP2 Z1 FS 50160";;;;;;;;;;;;;;;;;0
90017860;2241;"SPRING VALVE PIL SANDPIPER/780.027.025";;;;;;;;;;;;;;;;;0
90017861;2241;"PILOT VALVE/ASSY SANDPIPER/095.071.557";;;;;;;;;;;;;;;;;0
90017862;2241;"BODY/AIR DISTR V SANDPIPER/095.051.557";;;;;;;;;;;;;;;;;0
90017863;2241;"CAP/DISTR VALVE SANDPIPER/165.038.558";;;;;;;;;;;;;;;;;0
90017864;2241;"OIL SEAL 2IDX.375W IN DMR/S20027537AS";;;;;;;;;;;;;;;;;0
90017865;2241;"HYDRAULIC VALVE CROSS BA3111AAAF3EA0";;;;;;;;;;;;;;;;;0
90017866;2241;"PUMP GEAR SALAMI/2PE11.3D-R82S2";;;;;;;;;;;;;;;;;0
90017867;2241;"BELT V CONTITECH/C90";;;;;;;;;;;;;;;;;0
90017868;2241;"BRNGN LOCK NUT KW METRIC SKF/KM 6";;;;;;;;;;;;;;;;;0
90017869;2241;"SPANNER WRENCH SKF/HN 5-6";;;;;;;;;;;;;;;;;0
90017870;2241;"V SHAFT SEAL 65MM DMR/V-65";;;;;;;;;;;;;;;;;0
90017871;2241;"FLTR AIR SMC PNEU/AF40-N04-Z-A";;;;;;;;;;;;;;;;;0
90017872;2241;"RGL PRES AIR SMC PNEU/AR20-N02-Z-B";;;;;;;;;;;;;;;;;0
90017873;2241;"VLV SLD AIR CTRL SMC PN/VFS3400-5FZ-03T";;;;;;;;;;;;;;;;;0
90017874;2241;"VLV SLD AIR CTRL SMC PN/VFS3420-5DZ-03T";;;;;;;;;;;;;;;;;0
