Material Type,Material Group,Material,Description,Base Unit,BatchManagement,Configurable,Mfr Part Number,Manufacturer,Material locked,Division,Supply source,W/ empties BOM
ZER2,U30103100,90002754,RAIL LINEAR EDSON E1003458,EA,,,,,,,,
ZER2,U30103100,90002755,RAIL LINEAR EDSON E1006761,EA,,,,,,,,
ZER2,U30103100,90002756,RAIL LINEAR EDSON E1006880 42IN,EA,,,,,,,,
ZER2,U30103100,90002757,RAIL LINEAR EDSON E1007034,EA,,,,,,,,
ZER2,U30103100,90002758,RAIL LINEAR EDSON E1007037,EA,,,,,,,,
ZER2,U30103100,90002759,RAIL LINEAR EDSON E1008106,EA,,,,,,,,
ZER2,U30103100,90002760,RAIL LINEAR EDSON E1015514,EA,,,,,,,,
ZER2,U30103100,90002761,RAIL LINEAR HIWIN HGR20R1200C 1200MM,EA,,,,,,,,
ZER2,U30103100,90002762,RAIL LINEAR HIWIN HGR20R480C 480MM,EA,,,,,,,,
ZER2,U30103100,90002763,RAIL LINEAR HIWIN HGR20T460C 460MM,EA,,,,,,,,
ZER2,U30103100,90002764,RAIL LINEAR HIWIN HGR20T580C 580MM,EA,,,,,,,,
ZER2,U30103100,90002765,RAIL LINEAR HIWIN HGR30R1280C 245MM,EA,,,,,,,,
ZER2,U30103100,90002766,RAIL LINEAR INFINITY 103-2352A 101IN,EA,,,,,,,,
ZER2,U30103100,90002767,RAIL LINEAR INFINITY 550-0008A9 280MM,EA,,,,,,,,
ZER2,U30103100,90002768,RAIL LINEAR INFINITY 550-0008CA 580MM,EA,,,,,,,,
ZER2,U30103100,90002769,RAIL LINEAR INFINITY 550-0008E 660MM,EA,,,,,,,,
ZER2,U30103100,90002770,RAIL LINEAR INFINITY 550-0008U 1660MM,EA,,,,,,,,
ZER2,U30103100,90002771,RAIL LINEAR INFINITY 550-0018U 1980MM,EA,,,,,,,,
ZER2,U30103100,90002772,RAIL LINEAR INFINITY 550-0018V 2600MM,EA,,,,,,,,
ZER2,U26131811,90002773,REACTOR LINE EDSON 1321-3R4-B 2HP 600V,EA,,,,,,,,
ZER2,U26131811,90002774,REACTOR LINE EDSON 1321-3R8-C 3HP 600V,EA,,,,,,,,
ZER2,U27131603,90002775,REGULATOR PRESSURE CONTROL AIR 700-BE,EA,,,,,,,,
ZER2,U27131603,90002776,REGULATOR PRESSURE CONTROL AIR 700-CE,EA,,,,,,,,
ZER2,U27131603,90002777,REGULATOR PRESSURE NUMATICS R22K-03G,EA,,,,,,,,
ZER2,U27131603,90002778,REGULATOR PRESSURE NUMATICS R22K-03GL,EA,,,,,,,,
ZER2,U39121535,90002779,RELAY CONTROL CROUZET CORP DR-ODC24,EA,,,,,,,,
ZER2,U39121535,90002780,RELAY CONTROL EDSON 700-HK32Z24 24 VDC,EA,,,,,,,,
ZER2,U39121535,90002781,RELAY CONTROL IDEC RY4S-UL-AC120V,EA,,,,,,,,
ZER2,U39121535,90002782,RELAY CONTROL IDEC RY4S-ULD-DC24V 24 VDC,EA,,,,,,,,
ZER2,U39121004,90002783,POWER SUPPLY ELECTRICAL AB 1756-PB72,EA,,,,,,,,
ZER2,U39121004,90002784,POWER SUPPLY ELEC SIEMENS 6EP1353-2BA00,EA,,,,,,,,
ZER2,U39121004,90002785,POWER SUPPLY ELEC AB 1606-XLS480E-3,EA,,,,,,,,
ZER2,U39121004,90002786,POWER SUPPLY ELECTRICAL AB 1606-XLS480E,EA,,,,,,,,
ZER2,U39121004,90002787,POWER SUPPLY ELECTRICAL AB 20-750-APS,EA,,,,,,,,
ZER2,U39121004,90002788,POWER SUPPLY ELECTRICAL AB 1756-PB72/C,EA,,,,,,,,
ZER2,U39121004,90002789,POWER SUPPLY ELECTRICAL EDSON 1469480000,EA,,,,,,,,
ZER2,U39121004,90002790,POWER SUPPLY ELECTRICAL EDSON 1469490000,EA,,,,,,,,
ZER2,U39121004,90002791,POWER SUPPLY ELECTRICAL EDSON 1469510000,EA,,,,,,,,
ZER2,U39121004,90002792,POWER SUPPLY ELECTRICAL EDSON 1469560000,EA,,,,,,,,
ZER2,U26111806,90002793,PULLEY BRETTING 3248-780,EA,,,,,,,,
ZER2,U26111806,90002794,PULLEY BRETTING 3248-781,EA,,,,,,,,
ZER2,U26111806,90002795,PULLEY BRETTING 4030-10,EA,,,,,,,,
ZER2,U26111806,90002796,PULLEY BRETTING 4030-9,EA,,,,,,,,
ZER2,U26111806,90002797,PULLEY BRETTING 46000389,EA,,,,,,,,
ZER2,U26111806,90002798,PULLEY BRETTING 46000452,EA,,,,,,,,
ZER2,U26111806,90002799,PULLEY BRETTING 46000733,EA,,,,,,,,
ZER2,U26111806,90002800,PULLEY BRETTING 46000747,EA,,,,,,,,
ZER2,U26111806,90002801,PULLEY BRETTING 4908-108,EA,,,,,,,,
ZER2,U26111806,90002802,PULLEY BRETTING 4908-109,EA,,,,,,,,
ZER2,U26111806,90002803,PULLEY BRETTING 4908-110,EA,,,,,,,,
ZER2,U26111806,90002804,PULLEY BRETTING 4908-112,EA,,,,,,,,
ZER2,U26111806,90002805,PULLEY BRETTING 5761-674,EA,,,,,,,,
ZER2,U26111806,90002806,PULLEY BRETTING 5761-685,EA,,,,,,,,
ZER2,U26111806,90002807,PULLEY BRETTING 5761-911,EA,,,,,,,,
ZER2,U26111806,90002808,PULLEY BREWER 1BU4B 4IN 0.875IN,EA,,,,,,,,
ZER2,U26111806,90002809,PULLEY BREWER P2B 4IN 2.063IN 0.6375 ID,EA,,,,,,,,
ZER2,U26111806,90002810,PULLEY EDSON E1000141,EA,,,,,,,,
ZER2,U26111806,90002811,PULLEY EDSON E1006505,EA,,,,,,,,
ZER2,U26111806,90002812,PULLEY EDSON E1006518,EA,,,,,,,,
ZER2,U26111806,90002813,PULLEY INFINITY 102-3972B,EA,,,,,,,,
ZER2,U26111806,90002814,PULLEY INFINITY 103-2214 ALUM,EA,,,,,,,,
ZER2,U26111806,90002815,PULLEY INFINITY 103-8416A,EA,,,,,,,,
ZER2,U26111806,90002816,PULLEY INFINITY 103-8456 4IN 6IN 30mm ID,EA,,,,,,,,
ZER2,U24101723,90002817,PULLEY MOTORIZED EDSON E1001095 150MM,EA,,,,,,,,
ZER2,U26111807,90002818,PULLEY TIMING BRETTING 3514-213,EA,,,,,,,,
ZER2,U26111807,90002819,PULLEY TIMING BRETTING 3514-394,EA,,,,,,,,
ZER2,U26111807,90002820,PULLEY TIMING BRETTING 3514-500,EA,,,,,,,,
ZER2,U26111807,90002821,PULLEY TIMING BRETTING 3514-651,EA,,,,,,,,
ZER2,U26111807,90002822,PULLEY TIMING BRETTING 3514-673,EA,,,,,,,,
ZER2,U31163207,90002823,SHAFT EDSON E1005697,EA,,,,,,,,
ZER2,U31163207,90002824,SHAFT EDSON E1006506,EA,,,,,,,,
ZER2,U31163207,90002825,SHAFT EDSON E1009569,EA,,,,,,,,
ZER2,U31163207,90002826,SHAFT EDSON E1053311,EA,,,,,,,,
ZER2,U31163207,90002827,SHAFT EDSON E1054661,EA,,,,,,,,
ZER2,U31163207,90002828,SHAFT EDSON E1056843,EA,,,,,,,,
ZER2,U27131609,90002829,SILENCER EDSON 6842 U-1/4-B,EA,,,,,,,,
ZER2,U27131609,90002830,SILENCER EDSON 6844 U-1/2-B,EA,,,,,,,,
ZER2,U31161904,90002831,SPRING COMPRESSION BRETTING 48000541,EA,,,,,,,,
ZER2,U31161904,90002832,SPRING COMPRESSION BRETTING 48000416,EA,,,,,,,,
ZER2,U31161904,90002833,SPRING COMPRESSION BRETTING 48000566,EA,,,,,,,,
ZER2,U31161904,90002834,SPRING COMPRESSION BRETTING 48000362,EA,,,,,,,,
ZER2,U31161904,90002835,SPRING COMPRESSION BRETTING 48000178,EA,,,,,,,,
ZER2,U31161904,90002836,SPRING COMPRESSION BRETTING 48000019,EA,,,,,,,,
ZER2,U31161904,90002837,SPRING COMPRESSION BRETTING 48000027,EA,,,,,,,,
ZER2,U31161904,90002838,SPRING COMPRESSION BRETTING 48000089,EA,,,,,,,,
ZER2,U31161904,90002839,SPRING COMPRESSION EDSON E1000282,EA,,,,,,,,
ZER2,U31161904,90002840,SPRING COMPRESSION EDSON E1001858,EA,,,,,,,,
ZER2,U31161904,90002841,SPRING COMPRESSION INFINITY 409-1005 3IN,EA,,,,,,,,
ZER2,U31161904,90002842,SPRING COMPRESSION BRETTING 48000177,EA,,,,,,,,
ZER2,U31161909,90002843,SPRING GAS BRETTING 48000544 7.01IN,EA,,,,,,,,
ZER2,U31161909,90002844,SPRING GAS BRETTING 48000545 9.65IN,EA,,,,,,,,
ZER2,U31161907,90002845,SPRING TENSION BRETTING 48000235,EA,,,,,,,,
ZER2,U31161907,90002846,SPRING TENSION BRETTING 48000039,EA,,,,,,,,
ZER2,U31161907,90002847,SPRING TENSION BRETTING 48000510,EA,,,,,,,,
ZER2,U31161907,90002848,SPRING TENSION RAYMOND 48000548 0.5IN,EA,,,,,,,,
ZER2,U31161907,90002849,SPRING TENSION RAYMOND E0360-058-3500M,EA,,,,,,,,
ZER2,U31161907,90002850,SPRING TENSION RAYMOND E0360-058-4500M,EA,,,,,,,,
ZER2,U31161907,90002851,SPRING TENSION RAYMOND E0650-063-5000M,EA,,,,,,,,
ZER2,U31161908,90002852,SPRING TORSION BRETTING 4734-56,EA,,,,,,,,
ZER2,U31161908,90002853,SPRING TORSION BRETTING 6171-49,EA,,,,,,,,
ZER2,U31161908,90002854,SPRING TORSION BRETTING 6171-50,EA,,,,,,,,
ZER2,U31161908,90002855,SPRING TORSION INFINITY 409-0084 4.25IN,EA,,,,,,,,
ZER2,U31171901,90002856,SPROCKET BRETTING 2628-4,EA,,,,,,,,
ZER2,U31171901,90002857,SPROCKET BRETTING 3239-502,EA,,,,,,,,
ZER2,U31171901,90002858,SPROCKET BRETTING 49030146 12 SERIES 900,EA,,,,,,,,
ZER2,U31171901,90002859,SPROCKET EDSON E1001871,EA,,,,,,,,
ZER2,U31171901,90002860,SPROCKET INFINITY 100-0219 LH,EA,,,,,,,,
ZER2,U31171901,90002861,SPROCKET INFINITY 100-0219A RH,EA,,,,,,,,
ZER2,U31171901,90002862,SPROCKET INFINITY 103-8110 0.5IN 54T,EA,,,,,,,,
ZER2,U31163200,90002863,PIN BRETTING 28000186 HANDLE,EA,,,,,,,,
ZER2,U31163200,90002864,PIN BRETTING 2945-39,EA,,,,,,,,
ZER2,U31163200,90002865,PIN BRETTING 2945-74,EA,,,,,,,,
ZER2,U31163200,90002866,PIN BRETTING 33002536,EA,,,,,,,,
ZER2,U31163200,90002867,PIN BRETTING 5258,EA,,,,,,,,
ZER2,U31163200,90002868,PIN INFINITY 499-0132B 3IN 0.75IN,EA,,,,,,,,
ZER2,U23153039,90002869,PLATE BRETTING 4355-754,EA,,,,,,,,
ZER2,U39121004,90002870,POWER SUPPLY ELECTRICAL AB 1606-XLP50B,EA,,,,,,,,
ZER2,U39121004,90002871,POWER SUPPLY ELECTRICAL AB 1734-EP24DC,EA,,,,,,,,
ZER2,U39121004,90002872,POWER SUPPLY ELEC AB 1606-XLE240E-3,EA,,,,,,,,
ZER2,U31163202,90002873,RING RETAINING BRETTING 47000019 2.812IN,EA,,,,,,,,
ZER2,U31163202,90002874,RING RETAINING BRETTING 47000061 2IN,EA,,,,,,,,
ZER2,U31163202,90002875,RING RETAINING BRETTING 47000033 4.724IN,EA,,,,,,,,
ZER2,U31163202,90002876,RING RETAINING BRETTING 47000222 60MM,EA,,,,,,,,
ZER2,U31163202,90002877,RING RETAINING BRETTING 47000221 78MM,EA,,,,,,,,
ZER2,U31163202,90002878,RING RETAINING ANDERTON 5100-215 2.156IN,EA,,,,,,,,
ZER2,U31163202,90002879,RING RETAINING ANDERTON 5100-25 0.25IN,EA,,,,,,,,
ZER2,U31163202,90002880,RING RETAINING ANDERTON N1400-0059,EA,,,,,,,,
ZER2,U31163202,90002881,RING RETAINING TRUARC 5100-46 0.469IN,EA,,,,,,,,
ZER2,U31163202,90002882,RING RETAINING TRUARC 5100-78 0.781IN,EA,,,,,,,,
ZER2,U31161618,90002883,ROD THREADED EDSON E1001162 RH,EA,,,,,,,,
ZER2,U31161618,90002884,ROD THREADED EDSON E1011803 RH,EA,,,,,,,,
ZER2,U25174205,90002885,ROD TIE ROD BRETTING 6943-101,EA,,,,,,,,
ZER2,U25174205,90002886,ROD TIE ROD BRETTING 6943-102,EA,,,,,,,,
ZER2,U25174205,90002887,ROD TIE ROD BRETTING 6943-110,EA,,,,,,,,
ZER2,U31282221,90002888,ROLL BOW BRETTING 6375-583,EA,,,,,,,,
ZER2,U31282221,90002889,ROLL BOW BRETTING 6375-722,EA,,,,,,,,
ZER2,U31282222,90002890,"ROLL BRUSH TANIS INC 8"" OD X 109"" FACE",EA,,,,,,,,
ZER2,U31282223,90002891,ROLL DANCER BRETTING 1006-531T0009,EA,,,,,,,,
ZER2,U31282224,90002892,ROLL DRAW BRETTING 841-662,EA,,,,,,,,
ZER2,U31282224,90002893,ROLL DRAW BRETTING 841-663,EA,,,,,,,,
ZER2,U31282224,90002894,ROLL DRAW BRETTING 841-765,EA,,,,,,,,
ZER2,U31282226,90002895,ROLL GUIDE BRETTING 1006-333T027,EA,,,,,,,,
ZER2,U31282226,90002896,ROLL GUIDE BRETTING 1006-531T009,EA,,,,,,,,
ZER2,U31282226,90002897,ROLL GUIDE BRETTING 1006-835,EA,,,,,,,,
ZER2,U31282226,90002898,ROLL GUIDE BRETTING 1006-851,EA,,,,,,,,
ZER2,U31282237,90002899,ROLL INFINITY 413-0009,EA,,,,,,,,
ZER2,U31282237,90002900,ROLL BRETTING 1149-153,EA,,,,,,,,
ZER2,U31282237,90002901,ROLL BRETTING 1149-97,EA,,,,,,,,
ZER2,U31282237,90002902,ROLL BRETTING 2026-3,EA,,,,,,,,
ZER2,U31282237,90002903,ROLL BRETTING 2368-144,EA,,,,,,,,
ZER2,U31282237,90002904,ROLL BRETTING 2622-955,EA,,,,,,,,
ZER2,U31282237,90002905,ROLL BRETTING 276-55,EA,,,,,,,,
ZER2,U31282237,90002906,ROLL BRETTING 276-56,EA,,,,,,,,
ZER2,U31282237,90002907,ROLL BRETTING 2956-76,EA,,,,,,,,
ZER2,U31282237,90002908,ROLL BRETTING 3248-351,EA,,,,,,,,
ZER2,U31282237,90002909,ROLL BRETTING 3248-678,EA,,,,,,,,
ZER2,U31282237,90002910,ROLL BRETTING 3248-740,EA,,,,,,,,
ZER2,U31282237,90002911,ROLL BRETTING 3248-741,EA,,,,,,,,
ZER2,U31282237,90002912,ROLL BRETTING 3248-743,EA,,,,,,,,
ZER2,U26111807,90002913,PULLEY TIMING BRETTING 3514-828,EA,,,,,,,,
ZER2,U26111807,90002914,PULLEY TIMING BRETTING 3514-851,EA,,,,,,,,
ZER2,U26111807,90002915,PULLEY TIMING BRETTING 3514-856,EA,,,,,,,,
ZER2,U26111807,90002916,PULLEY TIMING BRETTING 3514-858,EA,,,,,,,,
ZER2,U26111807,90002917,PULLEY TIMING BRETTING 4030-255,EA,,,,,,,,
ZER2,U26111807,90002918,PULLEY TIMING BRETTING 46000315,EA,,,,,,,,
ZER2,U26111807,90002919,PULLEY TIMING BRETTING 46000380,EA,,,,,,,,
ZER2,U26111807,90002920,PULLEY TIMING BRETTING 46000430,EA,,,,,,,,
ZER2,U26111807,90002921,PULLEY TIMING BRETTING 46000435,EA,,,,,,,,
ZER2,U26111807,90002922,PULLEY TIMING BRETTING 46000447,EA,,,,,,,,
ZER2,U26111807,90002923,PULLEY TIMING BRETTING 46000459,EA,,,,,,,,
ZER2,U26111807,90002924,PULLEY TIMING BRETTING 46000461,EA,,,,,,,,
ZER2,U26111807,90002925,PULLEY TIMING BRETTING 46000487,EA,,,,,,,,
ZER2,U26111807,90002926,PULLEY TIMING BRETTING 46000495,EA,,,,,,,,
ZER2,U26111807,90002927,PULLEY TIMING BRETTING 46000500,EA,,,,,,,,
ZER2,U26111807,90002928,PULLEY TIMING BRETTING 46000576,EA,,,,,,,,
ZER2,U26111807,90002929,PULLEY TIMING BRETTING 46000589,EA,,,,,,,,
ZER2,U26111807,90002930,PULLEY TIMING BRETTING 46000745,EA,,,,,,,,
ZER2,U26111807,90002931,PULLEY TIMING BRETTING 46000860,EA,,,,,,,,
ZER2,U26111807,90002932,PULLEY TIMING BRETTING 46000946,EA,,,,,,,,
ZER2,U26111807,90002933,PULLEY TIMING BRETTING 46000948,EA,,,,,,,,
ZER2,U26111807,90002934,PULLEY TIMING BRETTING 46000956,EA,,,,,,,,
ZER2,U26111807,90002935,PULLEY TIMING BRETTING 46000964,EA,,,,,,,,
ZER2,U26111807,90002936,PULLEY TIMING BRETTING 46000988,EA,,,,,,,,
ZER2,U26111807,90002937,PULLEY TIMING BRETTING 46001063,EA,,,,,,,,
ZER2,U26111807,90002938,PULLEY TIMING BRETTING 46001103,EA,,,,,,,,
ZER2,U26111807,90002939,PULLEY TIMING BRETTING 4692-1079,EA,,,,,,,,
ZER2,U26111807,90002940,PULLEY TIMING BRETTING 4692-1156,EA,,,,,,,,
ZER2,U26111807,90002941,PULLEY TIMING BRETTING 4692-1223,EA,,,,,,,,
ZER2,U26111807,90002942,PULLEY TIMING BRETTING 4692-1712,EA,,,,,,,,
ZER2,U26111807,90002943,PULLEY TIMING BRETTING 4692-986,EA,,,,,,,,
ZER2,U26111807,90002944,PULLEY TIMING BRETTING 49000013,EA,,,,,,,,
ZER2,U26111807,90002945,PULLEY TIMING BRETTING 49070011,EA,,,,,,,,
ZER2,U26111807,90002946,PULLEY TIMING BRETTING 49070012,EA,,,,,,,,
ZER2,U26111807,90002947,PULLEY TIMING BRETTING 49070013,EA,,,,,,,,
ZER2,U26111807,90002948,PULLEY TIMING BRETTING 49070021,EA,,,,,,,,
ZER2,U26111807,90002949,PULLEY TIMING BRETTING 49080310,EA,,,,,,,,
ZER2,U26111807,90002950,PULLEY TIMING BRETTING 50010015,EA,,,,,,,,
ZER2,U26111807,90002951,PULLEY TIMING BRETTING 50010026,EA,,,,,,,,
ZER2,U26111807,90002952,PULLEY TIMING BRETTING 50020027,EA,,,,,,,,
ZER2,U39121520,90002953,RELAY OVERLOAD BRETTING 08000889 400HZ,EA,,,,,,,,
ZER2,U39121520,90002954,RELAY OVERLOAD ALLEN BRADLEY 193-EEBB,EA,,,,,,,,
ZER2,U39121520,90002955,RELAY OVERLOAD ALLEN BRADLEY 193-EECB,EA,,,,,,,,
ZER2,U39121520,90002956,RELAY OVERLOAD ALLEN BRADLEY 193-EEDB,EA,,,,,,,,
ZER2,U39121520,90002957,RELAY OVERLOAD ALLEN BRADLEY 193-EEFD,EA,,,,,,,,
ZER2,U39121520,90002958,RELAY OVERLOAD EDSON LR9D08,EA,,,,,,,,
ZER2,U39121552,90002959,RELAY SAFETY ALLEN BRADLEY 1756-L7SP,EA,,,,,,,,
ZER2,U39121552,90002960,RELAY SAFETY ALLEN BRADLEY 700-HPSXZ24,EA,,,,,,,,
ZER2,U39121552,90002961,RELAY SAFETY ALLEN BRADLEY 700S-CF620EJC,EA,,,,,,,,
ZER2,U31163202,90002962,RING RETAINING BRETTING 47000132 0.05IN,EA,,,,,,,,
ZER2,U31163202,90002963,RING RETAINING BRETTING 47000045 0.672IN,EA,,,,,,,,
ZER2,U31163202,90002964,RING RETAINING BRETTING 47000002 1.125IN,EA,,,,,,,,
ZER2,U31163202,90002965,RING RETAINING BRETTING 47000053 1.188IN,EA,,,,,,,,
ZER2,U31163202,90002966,RING RETAINING BRETTING 47000003 1.25IN,EA,,,,,,,,
ZER2,U31163202,90002967,RING RETAINING BRETTING 47000004 1.375IN,EA,,,,,,,,
ZER2,U31163202,90002968,RING RETAINING BRETTING 47000215 1.75IN,EA,,,,,,,,
ZER2,U31163202,90002969,RING RETAINING BRETTING 47000060 1.969IN,EA,,,,,,,,
ZER2,U31163202,90002970,RING RETAINING BRETTING 47000064 2.375IN,EA,,,,,,,,
ZER2,U31163202,90002971,RING RETAINING BRETTING 47000017 2.44IN,EA,,,,,,,,
ZER2,U31163202,90002972,RING RETAINING BRETTING 47000101 2.559IN,EA,,,,,,,,
ZER2,U23153131,90002973,STRIP WEAR BRETTING 4000-138,EA,,,,,,,,
ZER2,U23153131,90002974,STRIP WEAR BRETTING 4422-688,EA,,,,,,,,
ZER2,U23153131,90002975,STRIP WEAR BRETTING 4422-689,EA,,,,,,,,
ZER2,U23153131,90002976,STRIP WEAR BRETTING 4422-691,EA,,,,,,,,
ZER2,U23153131,90002977,STRIP WEAR BRETTING 4422-697,EA,,,,,,,,
ZER2,U23153131,90002978,STRIP WEAR BRETTING 4422-708,EA,,,,,,,,
ZER2,U23153131,90002979,STRIP WEAR BRETTING 4422-709,EA,,,,,,,,
ZER2,U23153131,90002980,STRIP WEAR BRETTING 4422-735,EA,,,,,,,,
ZER2,U23153131,90002981,STRIP WEAR BRETTING 4422-753,EA,,,,,,,,
ZER2,U23153131,90002982,STRIP WEAR BRETTING 454-355,EA,,,,,,,,
ZER2,U23153131,90002983,STRIP WEAR BRETTING 454-396,EA,,,,,,,,
ZER2,U23153131,90002984,STRIP WEAR BRETTING 454-397,EA,,,,,,,,
ZER2,U23153131,90002985,STRIP WEAR BRETTING 4926-281,EA,,,,,,,,
ZER2,U23153131,90002986,STRIP WEAR BRETTING 4926-318,EA,,,,,,,,
ZER2,U23153131,90002987,STRIP WEAR BRETTING 4926-57,EA,,,,,,,,
ZER2,U23153131,90002988,STRIP WEAR BRETTING 4926-699,EA,,,,,,,,
ZER2,U23153131,90002989,STRIP WEAR BRETTING 5609-644,EA,,,,,,,,
ZER2,U23153131,90002990,STRIP WEAR BRETTING 5609-645,EA,,,,,,,,
ZER2,U23153131,90002991,STRIP WEAR BRETTING 6687-11,EA,,,,,,,,
ZER2,U23153131,90002992,STRIP WEAR BRETTING 6687-12,EA,,,,,,,,
ZER2,U23153131,90002993,STRIP WEAR BRETTING 6687-T009,EA,,,,,,,,
ZER2,U23153131,90002994,STRIP WEAR BRETTING 6687-T020,EA,,,,,,,,
ZER2,U23153131,90002995,STRIP WEAR BRETTING 6687-T043,EA,,,,,,,,
ZER2,U23153131,90002996,STRIP WEAR BRETTING 6901-262,EA,,,,,,,,
ZER2,U23153131,90002997,STRIP WEAR EDSON E1013177,EA,,,,,,,,
ZER2,U23153131,90002998,STRIP WEAR EDSON E1013178,EA,,,,,,,,
ZER2,U23153131,90002999,STRIP WEAR EDSON E1044109,EA,,,,,,,,
ZER2,U23153131,90003000,STRIP WEAR INFINITY 100-0362Z 19IN,EA,,,,,,,,
ZER2,U23153131,90003001,STRIP WEAR INFINITY 100-0715,EA,,,,,,,,
ZER2,U23153131,90003002,STRIP WEAR INFINITY 100-0716,EA,,,,,,,,
ZER2,U23153131,90003003,STRIP WEAR INFINITY 103-0079,EA,,,,,,,,
ZER2,U23153131,90003004,STRIP WEAR INFINITY 103-1084B,EA,,,,,,,,
ZER2,U23153131,90003005,STRIP WEAR INFINITY 103-8916 22.25IN,EA,,,,,,,,
ZER2,U23153131,90003006,STRIP WEAR INFINITY 103-8917 18.25IN,EA,,,,,,,,
ZER2,U23153131,90003007,STRIP WEAR INFINITY 103-8918 18.25IN,EA,,,,,,,,
ZER2,U23153131,90003008,"STRIP WEAR INFINITY 109-6532A 32"" R",EA,,,,,,,,
ZER2,U23153131,90003009,"STRIP WEAR INFINITY 109-6540A 40"" R",EA,,,,,,,,
ZER2,U39121553,90003010,SWITCH DISCONNECT EDSON E1000749 60A 3,EA,,,,,,,,
ZER2,U39122213,90003011,SWITCH LIMIT EAS 0800157,EA,,,,,,,,
ZER2,U39122213,90003012,SWITCH LIMIT EDSON 802T-A 1/2 IN NPT,EA,,,,,,,,
ZER2,U39122213,90003013,SWITCH LIMIT EDSON 802T-AP SPRING,EA,,,,,,,,
ZER2,U39122213,90003014,SWITCH LIMIT EDSON E1004621,EA,,,,,,,,
ZER2,U39122213,90003015,SWITCH LIMIT MICRO SWITCH 914CE2-3,EA,,,,,,,,
ZER2,U43222612,90003016,SWITCH NETWORK AB 20-750-ENETR,EA,,,,,,,,
ZER2,U43222612,90003017,SWITCH NETWORK AB 1783-BMS10CGN 2000MB,EA,,,,,,,,
ZER2,U43222612,90003018,SWITCH NETWORK ALLEN BRADLEY 1783-ETAP,EA,,,,,,,,
ZER2,U43222612,90003019,SWITCH NETWORK ALLEN BRADLEY 1783-US8T,EA,,,,,,,,
ZER2,U43222612,90003020,SWITCH NETWORK ALLEN BRADLEY 25-COMM-E2P,EA,,,,,,,,
ZER2,U43222612,90003021,SWITCH NETWORK EDSON 1783-BMS06TA 6 PORT,EA,,,,,,,,
ZER2,U43222612,90003022,SWITCH NETWORK EDSON 1783-BMS20CGP,EA,,,,,,,,
ZER2,U39121506,90003023,SWITCH PRESSURE BRETTING 11010004 15A,EA,,,,,,,,
ZER2,U39121506,90003024,SWITCH PRESSURE BRETTING 11000005 150PSI,EA,,,,,,,,
ZER2,U39121506,90003025,SWITCH PRESSURE BRETTING 11010027 24V,EA,,,,,,,,
ZER2,U39121506,90003026,SWITCH PRESSURE BRETTING 11000006 30V,EA,,,,,,,,
ZER2,U39121506,90003027,SWITCH PRESSURE EFECTOR INC PK6220,EA,,,,,,,,
ZER2,U39121506,90003028,SWITCH PRESSURE FESTO PEV-1/4-B,EA,,,,,,,,
ZER2,U39121501,90003029,SWITCH SAFETY BRETTING 13020063 M12,EA,,,,,,,,
ZER2,U39121501,90003030,SWITCH SAFETY BRETTING 13020058,EA,,,,,,,,
ZER2,U24111803,90003031,TANK STORAGE BRETTING 41040027,EA,,,,,,,,
ZER2,U39121001,90003032,TRANSFORMER BRETTING 05000254,EA,,,,,,,,
ZER2,U39121001,90003033,TRANSFORMER EDSON Q005LEKF 120A 460V,EA,,,,,,,,
ZER2,U39121001,90003034,TRANSFORMER EDSON Q007LEKF 7.5 KVA 460V,EA,,,,,,,,
ZER2,U39121001,90003035,TRANSFORMER HEVI-DUTY HS1F1.5AS 60HZ 1PH,EA,,,,,,,,
ZER2,U39121001,90003036,TRANSFORMER SOLA\HEVI-DUTY HS1F1BS 480V,EA,,,,,,,,
ZER2,U39121001,90003037,TRANSFORMER HEVI-DUTY HS1F2A 60HZ 480V,EA,,,,,,,,
ZER2,U39121001,90003038,TRANSFORMER INFINITY 499-0021B 480V,EA,,,,,,,,
ZER2,U32101670,90003039,TRANSPONDER RFID EDSON E1013392,EA,,,,,,,,
ZER2,U40142606,90003040,UNION ROTARY BRETTING 7138-126,EA,,,,,,,,
ZER2,U40142606,90003041,UNION ROTARY BRETTING 42001006 CARBON,EA,,,,,,,,
ZER2,U40141618,90003042,VALVE CHECK BRETTING 42000932 3000PSI,EA,,,,,,,,
ZER2,U40141618,90003043,VALVE CHECK ACE CV-3/8 0.375IN,EA,,,,,,,,
ZER2,U40141618,90003044,VALVE CHECK INFINITY 841-0126,EA,,,,,,,,
ZER2,U40141609,90003045,VALVE CONTROL BRETTING 42000938 5000PSI,EA,,,,,,,,
ZER2,U40141609,90003046,VALVE CONTROL DELTROL EF-10B BRASS 0.125,EA,,,,,,,,
ZER2,U40141609,90003047,VALVE CONTROL DELTROL EF-20B BRASS 0.25,EA,,,,,,,,
ZER2,U40141609,90003048,VALVE CONTROL DELTROL EF-25B 0.375,EA,,,,,,,,
ZER2,U40141609,90003049,VALVE CONTROL EDSON 151165,EA,,,,,,,,
ZER2,U40141609,90003050,VALVE CONTROL EDSON 193144,EA,,,,,,,,
ZER2,U40141609,90003051,VALVE CONTROL EDSON 193148,EA,,,,,,,,
ZER2,U40141609,90003052,VALVE CONTROL LEGRIS 7770 60 00 0.375,EA,,,,,,,,
ZER2,U40141609,90003053,VALVE CONTROL PARKER FM2DDDKN SANDWICH,EA,,,,,,,,
