Material,Class Type,Class No,Class Desc,Class Key Word,Internal char no.,Characteristic Value,Value from,Value to,Code
90008168,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_GEAR_LUBE_TYPE,XP220,0,0,1
90008168,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_DUTY,S1,0,0,1
90008168,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_HZ,,60,0,1
90008168,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_PHASE,,3,0,1
90008168,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_POWER_HP,,0.75,0,1
90008168,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_RPM,,1710,0,1
90008168,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_ENCLOSURE_TYPE,IP55,0,0,1
90008168,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_RATIO,15.23:1,0,0,1
90008168,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_OUTPUT_RPM_1,,112,0,1
90008168,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_SERVICE_FACTOR_1,,2,0,1
90008169,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_INSULATION,155,0,0,1
90008169,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOUNT_POSITION,M1,0,0,1
90008169,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_GEAR_LUBE_NAME,MINERAL OIL,0,0,1
90008169,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_GEAR_LUBE_TYPE,VG220,0,0,1
90008169,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_HZ,,60,0,1
90008169,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_PHASE,,3,0,1
90008169,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_POWER_HP,,4,0,1
90008169,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_POWER_KW,,3,0,1
90008169,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_ENCLOSURE_TYPE,IP54,0,0,1
90008169,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_RATIO,109.93:1,0,0,1
90008169,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_OUTPUT_RPM_1,,16,0,1
90008260,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_VOLTAGE,,460,0,1
90008260,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOUNT_POSITION,M5,0,0,1
90008260,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_TORQUE_RATING_FT_LBF,,26.75,0,1
90008260,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_SHAFT_DIAMETER_MM,,20,0,1
90008260,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_HZ,,60,0,1
90008260,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_POWER_HP,,0.25,0,1
90008260,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_POWER_KW,,0.19,0,1
90008260,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_RATIO,100:1,0,0,1
90008260,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_OUTPUT_RPM_1,,17,0,1
90008291,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_VOLTAGE,,460,0,1
90008291,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOUNT_POSITION,H2,0,0,1
90008291,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_TORQUE_RATING_FT_LBF,,262.58,0,1
90008291,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_SHAFT_DIAMETER_INCH,,1.38,0,1
90008291,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_HZ,,60,0,1
90008291,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_PHASE,,3,0,1
90008291,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_POWER_HP,,0.33,0,1
90008291,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_RATIO,257.32:1,0,0,1
90008291,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_OUTPUT_RPM_1,,6.6,0,1
90008292,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_VOLTAGE,,460,0,1
90008292,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOUNT_POSITION,H1,0,0,1
90008292,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_SHAFT_DIAMETER_INCH,,1.25,0,1
90008292,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_HZ,,60,0,1
90008292,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_PHASE,,3,0,1
90008292,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_POWER_HP,,0.16,0,1
90008292,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_RATIO,109.5:1,0,0,1
90008292,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_OUTPUT_RPM_1,,16,0,1
90008293,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_VOLTAGE,,460,0,1
90008293,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOUNT_POSITION,M3,0,0,1
90008293,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_TORQUE_RATING_FT_LBF,,62.41,0,1
90008293,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_SHAFT_DIAMETER_MM,,25,0,1
90008293,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_CONDUIT_BOX_POSITION,CE2,0,0,1
