COEMF REQUEST#,CIE,VENDOR,VENDOR PART #,Part# found in SAP Desc,Material Group,CLASS ID,CLASS DESCRIPTION,SAP PARTS DESCRIPTION FR,SAP PARTS DESCRIPTION EN,LENGTH,PCMC#,COMMENTS,STATUS,SAP#,RESP
361,3411,omron,E2E-X7D1-N,,U41111926,,,CAPTEUR PROXI INDUCTIF M18 7MM DC 2F,SENSOR PROX INDUCT M18 7MM DC 2W,36/32,OMRON / E2E-X7D1-N,3411v1808.6,PROD,90012624,
361,3411,omron,E3S-CL1,,U39121528,,,CAPTEUR PHOTO DIFFUS REFLECT 200MM DEL,SENSOR PHOTO DIFFUSE REFLECT 200MM LED,38/38,OMRON / E3S-CL1,3411v1808.6,PROD,90012627,
361,3411,omron,E3Z-R66,,U39121528,,,CAPTEUR PHOTOELEC RREFLECT M8 0.1-4M,SENSOR PHOTOELEC RREFLECT M8 0.1-4M,36/35,OMRON / E3Z-R66,3411v1808.6,PROD,90012617,
361,3411,Hammond Power Solutions,EE9J,,U39121001,,,TRANSFO 50VA 600V 120V,TRANSFO 50VA 600V 120V,22/22,HAMMOND POWER SOLUTIONS / EE9J,3411v1808.6,PROD,90012601,
361,3411,parker,EM12,,,,,SILENC ECHAP PNEUM 0.125PO 250PSI,FILTER PNEUM MUFF 0.125IN 250PSI,33/32,PARKER / EM12,3411v1808.6,PROD,90012702,
361,3411,parker,EM25,,,,,SILENC ECHAP PNEUM 0.25PO 250PSI,FILTER PNEUM MUFF 0.25IN 250PSI,32/31,PARKER / EM25,3411v1808.6,PROD,90012703,
361,3411,parker,EM37,,,,,SILENC ECHAP PNEUM 0.375PO 250PSI,FILTER PNEUM MUFF 0.375IN 250PSI,33/32,PARKER / EM37,3411v1808.6,PROD,90012704,
361,3411,parker,EM50,,,,,SILENC ECHAP PNEUM 0.5PO 250PSI,FILTER PNEUM MUFF 0.5IN 250PSI,31/30,PARKER / EM50,3411v1808.6,PROD,90012705,
361,3411,REGAL BELOIT POWER TRANSMISSION SOLUTIONS,ER-32,,U31171504,,,ROULEMENT BILLES 2.000PO 3.937PO 2.187PO,BEARING BALL INS 2.00IN 3.937IN 2.187IN,40/39,REGAL BELOIT POWER TRANSMISSION SOLUTIONS / ER-32,3411v1808.6,PROD,90012766,
361,3411,REGAL BELOIT POWER TRANSMISSION SOLUTIONS,ER-39C,,U31171504,,,ROULEMENT INS SPH. 2.437PO 1.33PO 2.56PO,BEARING BALL INS 2.437ID 4.3307OD 2.562W,40/40,REGAL BELOIT POWER TRANSMISSION SOLUTIONS / ER-39C,3411v1808.6,PROD,90012763,
361,3411,REGAL BELOIT POWER TRANSMISSION SOLUTIONS,ERX-24RL,,U31171504,,,ROULEMENT BILLES 1.500PO 3.149PO 1.937PO,BEARING BALL INS 1.50IN 3.149IN 1.937IN,40/39,REGAL BELOIT POWER TRANSMISSION SOLUTIONS / ERX-24RL,3411v1808.6,PROD,90012765,
361,3411,REGAL BELOIT POWER TRANSMISSION SOLUTIONS,ESPB2215-C2,,U31171510,,,ROULEMENT BILLE SPH UP 2B 2.937PO SV LOC,BEARING SPH ROLL PB 2B 2.9375ID SLEEVLOC,40/40,REGAL BELOIT POWER TRANSMISSION SOLUTIONS / ESPB2215-C2,3411v1808.6,PROD,90012776,
361,3411,REGAL BELOIT POWER TRANSMISSION SOLUTIONS,FCF3,,,,,GALET CAME ROU3POX2PO TIG2.5POX1.25PO,CAM FOLLOWER FLG 3RD 2RW 3.937FD 0.593FT,37/40,REGAL BELOIT POWER TRANSMISSION SOLUTIONS / FCF3,3411v1808.6,PROD,90012773,
361,3411,COWPER INC,FCP2,,U40141609,,,VALVE CONTROLE DEBIT 1/8 NPT 150PSI,VALVE FLOW CONTROL 1/8 NPT 150PSI,35/33,COWPER INC / FCP2,3411v1808.6,PROD,90012742,
361,3411,PARKER,HN1L-4CD,,U40161505,,,FILTRE AIR COMPR 0.25PO 100PSI 0.01MIC,FILTER PNEUM 0.25IN 100PSI 0.01MIC,38/34,PARKER / HN1L-4CD,3411v1808.6,PROD,90012706,
361,3411,Hammond manufacturing,HT96800,,U39121001,,,TRANSFO 50VA P600S120V,TRANSFO 50VA P600S120V,22/22,HAMMOND MANUFACTURING / HT96800,3411v1808.6,PROD,90012680,
361,3411,Parker,K152003,,,U40141636_VLV_KIT,VALVE KIT,VALVE OVERRIDE KIT LOCKING VALVAIR II,VALVE OVERRIDE KIT LOCKING VALVAIR II,37/37,PARKER / K152003,3411v1808.6,PROD,90012707,
361,3411,Parker,K352124,,,U40141636_VLV_KIT,VALVE KIT,KIT VALVE PARKER VALVAIR II,KIT VALVE PARKER VALVAIR II,27/27,PARKER / K352124,3411v1808.6,PROD,90012708,
361,3411,parker,K352166,,,U40141636_VLV_KIT,VALVE KIT,KIT VALVE PARKER-N ,KIT VALVE PARKER-N,19/18,PARKER / K352166,3411v1808.6,PROD,90012709,
361,3411,PARKER,K4515N18060,,,,,MANOMETRE 60PSI 0.125PO,GAUGE PRESSURE 60PSI 0.125IN,23/28,PARKER / K4515N18060,3411v1808.6,PROD,90012710,
361,3411,Marcus ,M0150J,,U39121001,,,TRANSFO 150VA P600S120/240V 0.25/1.25A,TRANSFO 150VA P600S120/240V 0.25/1.25A,38/38,MARCUS  / M0150J,3411v1808.6,PROD,90012678,
361,3411,omron,MJN3C-DC24,,,,,RELAIS ALIM 3PDT 24VDC 10A SOCLE MJN,RELAY POWER 3PDT 24VDC 10A SCK NL MJN,36/37,OMRON / MJN3C-DC24,3411v1808.6,PROD,90012606,
361,3411,Hammond manufacturing,MPB2,,,U39121326,ENCL PUSHBUTTON,BOITIER BTN POUSSOIR 2B 22MM MTL GRIS,ENCLOSURE PUSHBUTTON 2B 22MM STEEL GRY,37/38,HAMMOND MANUFACTURING / MPB2,3411v1808.6,PROD,90012675,
361,3411,PARKER,N3554904553,,U40141605,,,VALVE SOLENOIDE 3W2P 0.375PO 120VAC,VALVE SOLENOID 3W2P 0.375PO 120VAC,35/34,PARKER / N3554904553,3411v1808.6,PROD,90012711,
