MATNR,VKORG,VTWEG,WERKS,LGORT,LGNUM,LGTYP,DISPR,MBRSH,MTART,MAKTX_FR,MAKTX_EN,MEINS,MATKL,BISMT,SPART,PRDHA,MSTAE,MSTDE,MTPOS_MARA,BRGEW,NTGEW,GEWEI,VOLUM,VOLEH,GROES,MAGRV,SATNR,NA,KLART,CLASS,ZER0A,VRKME,MEGRU,MSTAV,MSTDV,VMSTA,VMSTD,SKTOF,ALAND,TATYP,TAXM1,SCMNG,SCHME,RDPRF,VERSG,KONDM,KTGRM,MTPOS,PMATN,PRODH,MVGR1,MTVFP,XCHPF,TRAGR,LADGR,VHART,ERGEW,ERGEI,GEWTO,XMCNG,PRCTR,STAWN,MTVER,HERKL,HERKR,ZEROB,BSTME,VABME,EKGRP,MMSTA,MMSTD,TAXIM,KAUTB,EKWSL,WEBAZ,ZEROC,ZEROD,DISGR,MAABC,DISMM,MINBE,FXHOR,DISPO,DISLS,BSTMI,BSTMA,BSTFE,MABST,BSTRF,BESKZ,SOBSL,LGPRO,RGEKZ,LGFSB,KZKUP,SCHGT,DZEIT,PLIFZ,MRPPP,FHORI,EISBE,PERKZ,STRGR,VRMOD,VINT1,VINT2,MISKZ,WZEIT,STDPD,NA_B,NA_C,ALTSL,KAUSF,SBDKZ,AHDIS,LSOBS,PRMOD,PERAN,ANZPR,KZINI,SIGGR,MODAV,AUSME,FEVOR,SFCPF,UEETK,LGPBE,RAUBE,ABCIN,ETIAR,ETIFO,IPRKZ,LOGGR,LVSME,VOMEM,LTKZA,LTKZE,LGBKZ,BSSKZ,LHMG1,LHME1,LETY1,LGPLA,BWKEY,BWTTY,BKLAS,MLMAA,MLAST,VERPR_EN,VERPR_FR,PEINH,VPRSV,NCOST,EKALR,HRKFT,HKMAT,KOSGR,AWSLS,LOSGR,MEINH,KZWSM,DPCBT,XPRGI,XGRDT,ATNAM,ATWRT,MSEHL,XFHDW,XPCBU,ZEROE,ZEROF,SERNP,PCMC,MFRNR,MFRPN
,,,2771,7000,,,,Z,ZER2,CABLE CONTROL 2M M12 VALCO 030XX741,CABLE CONNECTEUR 2M M12 VALCO 030XX741,EA,U26121603,,,,,,,,,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,,,,,,,,,2771,,,,,,,,295,,,,,,1,,CABLE CONNECTEUR 2M M12 VALCO 030XX741,9000,A,PD,,,900,EX,,,,,,F,,7000,,7000,,,,7,,001,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,A,CX,CA,D,,,,,,,,,,,,2771,,3040,X,2,,0.01,1,V,,,,,,,,,,,,,,,,,,,,,VALCO MELTON / 030XX741,VALCO MELTON,030xx741
,,,2771,7000,,,,Z,ZER2,ENCODER RETRACTIL 2-10FT VALCO 030XX827,CODEUR RETRACTABLE VALCO 030XX827,EA,U39121527,,,,,,,,,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,,,,,,,,,2771,,,,,,,,295,,,,,,1,,,9000,A,PD,,,900,EX,,,,,,F,,7000,,7000,,,,7,,001,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,A,CX,CA,D,,,,,,,,,,,,2771,,3040,X,2,,0.01,1,V,,,,,,,,,,,,,,,,,,,,,VALCO MELTON / 030XX827,VALCO MELTON,030xx827
,,,2771,7000,,,,Z,ZER2,CONNECTOR MALE SCANNER VALCO 061.248,RACC MALE SCANNER VALCO 061.248,EA,U39121409,,,,,,,,,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,,,,,,,,,2771,,,,,,,,295,,,,,,1,,,9000,A,PD,,,900,EX,,,,,,F,,7000,,7000,,,,7,,001,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,A,CX,CA,D,,,,,,,,,,,,2771,,3040,X,2,,0.01,1,V,,,,,,,,,,,,,,,,,,,,,VALCO MELTON / 061.248,VALCO MELTON,061.248
,,,2771,7000,,,,Z,ZER2,CONNECTOR FEMALE SCANNER VALCO 061XX216,RACC FEMELLE SCANNER VALCO 061XX216,EA,U39121409,,,,,,,,,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,,,,,,,,,2771,,,,,,,,295,,,,,,1,,,9000,A,PD,,,900,EX,,,,,,F,,7000,,7000,,,,7,,001,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,A,CX,CA,D,,,,,,,,,,,,2771,,3040,X,2,,0.01,1,V,,,,,,,,,,,,,,,,,,,,,VALCO MELTON / 061XX216,VALCO MELTON,061xx216
,,,2771,7000,,,,Z,ZER2,CONNECTOR MALE SCANNER VALCO 061XX249,RACC MALE SCANNER VALCO 061XX249,EA,U39121409,,,,,,,,,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,,,,,,,,,2771,,,,,,,,295,,,,,,1,,,9000,A,PD,,,900,EX,,,,,,F,,7000,,7000,,,,7,,001,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,A,CX,CA,D,,,,,,,,,,,,2771,,3040,X,2,,0.01,1,V,,,,,,,,,,,,,,,,,,,,,VALCO MELTON / 061XX249,VALCO MELTON,061xx249
,,,2771,7000,,,,Z,ZER2,CONTROL UNIT MCP-4F VALCO 074XX039,COFFRET COMMANDE VALCO 074XX039,EA,U31162313,,,,,,,,,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,,,,,,,,,2771,,,,,,,,295,,,,,,1,,,9000,A,PD,,,900,EX,,,,,,F,,7000,,7000,,,,7,,001,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,A,CX,CA,D,,,,,,,,,,,,2771,,3040,X,2,,0.01,1,V,,,,,,,,,,,,,,,,,,,,,VALCO MELTON / 074XX039,VALCO MELTON,074xx039
,,,2771,7000,,,,Z,ZER2,FUSE 2A SL-BLO VALCO 085XX017,FUSIBLE 2A ACT RET VALCO 085XX017,EA,U39121439,,,,,,,,,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,,,,,,,,,2771,,,,,,,,295,,,,,,1,,,9000,A,PD,,,900,EX,,,,,,F,,7000,,7000,,,,7,,001,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,A,CX,CA,D,,,,,,,,,,,,2771,,3040,X,2,,0.01,1,V,,,,,,,,,,,,,,,,,,,,,VALCO MELTON / 085XX017,VALCO MELTON,085xx017
,,,2771,7000,,,,Z,ZER2,FUSE 3.15A TIME DELAY VALCO 085XX208,FUSIBLE 3.15A TEMPOR VALCO 085XX208,EA,U39121439,,,,,,,,,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,,,,,,,,,2771,,,,,,,,295,,,,,,1,,,9000,A,PD,,,900,EX,,,,,,F,,7000,,7000,,,,7,,001,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,A,CX,CA,D,,,,,,,,,,,,2771,,3040,X,2,,0.01,1,V,,,,,,,,,,,,,,,,,,,,,VALCO MELTON / 085XX208,VALCO MELTON,085xx208
,,,2771,7000,,,,Z,ZER2,FUSE MINI 2A MAIN BOARD VALCO 085XX220,FUSIBLE 2A CARTE MERE VALCO 085XX220,EA,U39121439,,,,,,,,,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,,,,,,,,,2771,,,,,,,,295,,,,,,1,,,9000,A,PD,,,900,EX,,,,,,F,,7000,,7000,,,,7,,001,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,A,CX,CA,D,,,,,,,,,,,,2771,,3040,X,2,,0.01,1,V,,,,,,,,,,,,,,,,,,,,,VALCO MELTON / 085XX220,VALCO MELTON,085xx220
,,,2771,7000,,,,Z,ZER2,PANEL ASSY FRONT MCP-4 VALCO 137XX012,PANNEAU CTRL ASSEMB MCP-4 VALCO 137XX012,EA,U31162313,,,,,,,,,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,,,,,,,,,2771,,,,,,,,295,,,,,,1,,,9000,A,PD,,,900,EX,,,,,,F,,7000,,7000,,,,7,,001,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,A,CX,CA,D,,,,,,,,,,,,2771,,3040,X,2,,0.01,1,V,,,,,,,,,,,,,,,,,,,,,VALCO MELTON / 137XX012,VALCO MELTON,137xx012
