MATERIAL_NUMBER,MATL GROUP,MATERIAL_SHORT_DESCRIPTION,DUPLICATE_REFERENCE,MANUFACTURER/VENDOR,VENDOR1.x,VENDOR2.x,PART_NUMBER,BRAND,MANUFACTURER/ VENDOR,FinalVendorName,VENDOR,VENDOR1.y,VENDOR2.y,VENDOR PART #,STATUS,Z011.VENDOR,Z011.NAME,Z011.dist
90000025,U31171504,BEARING BALL PCMC 160025.708.1 40MM,NA,PCMC,PCMC,NA,160025.708.1,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000026,U31171504,BEARING BALL PCMC 160025.709.1 45MM,NA,PCMC,PCMC,NA,160025.709.1,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000027,U31171504,BEARING BALL PCMC 160025.710.1 50MM,NA,PCMC,PCMC,NA,160025.710.1,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000028,U31171504,BEARING BALL PCMC 160028.130.0 30MM,NA,PCMC,PCMC,NA,160028.130.0,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000029,U31171504,BEARING BALL PCMC 160028.140.0 40MM,NA,PCMC,PCMC,NA,160028.140.0,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000030,U31171504,BEARING BALL PCMC 160032.208.2 UNIT,NA,PCMC,PCMC,NA,160032.208.2,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000031,U31171504,BEARING BALL PCMC 18762 90MM 160MM,NA,PCMC,PCMC,NA,18762,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000032,U31171504,BEARING BALL PCMC 30507700 20MM 52MM,NA,PCMC,PCMC,NA,30507700,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000033,U31171504,BEARING BALL PCMC 30516490 30MM 72MM,NA,PCMC,PCMC,NA,30516490,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000034,U31171504,BEARING BALL PCMC 30589303 3.14IN 2.08IN,NA,PCMC,PCMC,NA,30589303,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000035,U31171504,BEARING BALL PCMC 30589310 3.14IN 1.93IN,NA,PCMC,PCMC,NA,30589310,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000036,U31171504,BEARING BALL PCMC 36133 35MM,NA,PCMC,PCMC,NA,36133,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000037,U31171530,BEARING CAM FOLLOWER INFINITY 517-0032,NA,INFINITY,INFINITY,NA,517-0032,NA,Manufacturer,INFINITY,NA,NA,NA,NA,NA,NA,INFINITY                 	50113,23
90000038,U31171530,BEARING CAM FOLLOWER PCMC 36275 90MM,NA,PCMC,PCMC,NA,36275,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000039,U31171501,BEARING FLANGED INFINITY 512-0003 1.0IN,NA,INFINITY,INFINITY,NA,512-0003,NA,Manufacturer,INFINITY,NA,NA,NA,NA,NA,NA,INFINITY                 	50113,23
90000040,U31171501,BEARING FLANGED INFINITY 512-0007 1.25IN,NA,INFINITY,INFINITY,NA,512-0007,NA,Manufacturer,INFINITY,NA,NA,NA,NA,NA,NA,INFINITY                 	50113,23
90000041,U31171501,BEARING FLANGED INFINITY 512-0061A 25MM,GRP-ED-205,INFINITY,INFINITY,NA,512-0061A,NA,Manufacturer,INFINITY,NA,NA,NA,NA,NA,NA,INFINITY                 	50113,23
90000042,U31171501,BEARING FLANGED PCMC 160032.312.2 60MM,NA,PCMC,PCMC,NA,160032.312.2,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000043,U31171501,BEARING FLANGED PCMC 160032.412.2 60MM,NA,PCMC,PCMC,NA,160032.412.2,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000044,U31171501,BEARING FLANGED PCMC 160832.208.2 40MM,NA,PCMC,PCMC,NA,160832.208.2,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000045,U31171501,BEARING FLANGED PCMC 160832.405.2 25MM,NA,PCMC,PCMC,NA,160832.405.2,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000046,U31171501,BEARING FLANGED PCMC 30190639 90MM,NA,PCMC,PCMC,NA,30190639,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
