Material,Description,Configurable,Manufacturer,Mfr Part Number,Material Type,Material Group,MATL GROUP,MATERIAL_SHORT_DESCRIPTION,DUPLICATE_REFERENCE,MANUFACTURER/VENDOR,VENDOR1.x,VENDOR2.x,PART_NUMBER,BRAND,MANUFACTURER/ VENDOR,FinalVendorName,VENDOR,VENDOR1.y,VENDOR2.y,VENDOR PART #,STATUS,Z011.VENDOR,Z011.NAME,Z011.dist
90000020,BEARING BALL PCMC 160025.016.1 1.00IN,NA,50184,160025.016.1,ZER2,U31171504,U31171504,BEARING BALL PCMC 160025.016.1 1.00IN,NA,PCMC,PCMC,NA,160025.016.1,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000021,BEARING BALL PCMC 160025.704.1 20MM,NA,50184,160025.704.1,ZER2,U31171504,U31171504,BEARING BALL PCMC 160025.704.1 20MM,NA,PCMC,PCMC,NA,160025.704.1,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000022,BEARING BALL PCMC 160025.705.1 25MM,NA,50184,160025.705.1,ZER2,U31171504,U31171504,BEARING BALL PCMC 160025.705.1 25MM,NA,PCMC,PCMC,NA,160025.705.1,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000023,BEARING BALL PCMC 160025.706.1 30MM,NA,50184,160025.706.1,ZER2,U31171504,U31171504,BEARING BALL PCMC 160025.706.1 30MM,NA,PCMC,PCMC,NA,160025.706.1,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000024,BEARING BALL PCMC 160025.707.1 35MM,NA,50184,160025.707.1,ZER2,U31171504,U31171504,BEARING BALL PCMC 160025.707.1 35MM,NA,PCMC,PCMC,NA,160025.707.1,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000025,BEARING BALL PCMC 160025.708.1 40MM,NA,50184,160025.708.1,ZER2,U31171504,U31171504,BEARING BALL PCMC 160025.708.1 40MM,NA,PCMC,PCMC,NA,160025.708.1,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000026,BEARING BALL PCMC 160025.709.1 45MM,NA,50184,160025.709.1,ZER2,U31171504,U31171504,BEARING BALL PCMC 160025.709.1 45MM,NA,PCMC,PCMC,NA,160025.709.1,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000027,BEARING BALL PCMC 160025.710.1 50MM,NA,50184,160025.710.1,ZER2,U31171504,U31171504,BEARING BALL PCMC 160025.710.1 50MM,NA,PCMC,PCMC,NA,160025.710.1,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000028,BEARING BALL PCMC 160028.130.0 30MM,NA,50184,160028.130.0,ZER2,U31171504,U31171504,BEARING BALL PCMC 160028.130.0 30MM,NA,PCMC,PCMC,NA,160028.130.0,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000029,BEARING BALL PCMC 160028.140.0 40MM,NA,50184,160028.140.0,ZER2,U31171504,U31171504,BEARING BALL PCMC 160028.140.0 40MM,NA,PCMC,PCMC,NA,160028.140.0,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
