Z011VendorNo,Z011VendorName,VendorNames,n,weight,N,prob,weightedScore
50414,PRECISION MULTIPLE CONTRO,PRECISION MULTIPLE CONTROLS,3,0.5,3,1,0.5
50415,PRIMARYFLUID,PRIMARYFLUID,1,1,1,1,1
50416,PROAX TECHNOLOGIES LTEE,PROAX TECHNOLOGIES LTEE,1,1,1,1,1
50417,RAB,RAB,2,1,2,1,1
50418,RACKATIERS,RACKATIERS,1,1,1,1,1
50419,RE,RE,1,1,1,1,1
50420,READING TECHNOLOGIES,READING TECHNOLOGIES,1,1,1,1,1
50421,REX MANUFACTURING,REX MANUFACTURIND,1,1,1,1,1
50423,RHP,RHP,1,1,1,1,1
50424,RINGSPANN CORPORATION,RINGSPANN CORPORATION,1,1,1,1,1
50425,RITTAL,RITTAL,2,1,2,1,1
50426,ROD ENDS MECHANICAL LTD,ROD ENDS MECHANICAL LTD,3,1,3,1,1
50427,RTI,RTI,1,1,1,1,1
50428,RUB,RUB,1,1,1,1,1
50429,SANDPIPER,SANDPIPER,81,1,81,1,1
50430,SCEPTER,SCEPTER,4,1,4,1,1
50431,SCHROEDER,SCHROEDER,1,1,1,1,1
50432,SELECTPART,SELECTPART,1,1,1,1,1
50433,SHELL,SHELL,1,1,1,1,1
50434,SIGNODE,SIGNODE,4,1,4,1,1
50436,SMART SUPPLIES,SMART SUPPLIES,3,1,3,1,1
50437,SPICER,SPICER,2,1,2,1,1
50438,SQUARE D,SQUARE D,5,1,5,1,1
50439,STAFFORD CORRUGATED,STAFFORD CORRUGATED,3,1,3,1,1
50440,STANDARD,STANDARD,12,1,12,1,1
50442,STELPRO,STELPRO,1,1,1,1,1
50443,STEWART WARNER CORP CDN L,STEWART WARNER CORP CDN LTD,1,0.5,1,1,0.5
50444,SUPERIOR GLOVE WORKS LTD,SUPERIOR GLOVE WORKS LTD,1,1,1,1,1
50445,TCP,TCP,1,1,1,1,1
50446,THOMSON INDUSTRIES,THOMSON INDUSTRIES,1,1,1,1,1
50447,TOMPAC,TOMPAC,1,1,1,1,1
50448,TRANSFORCE BELTAL INC,TRANSFORCE BELTAL INC,2,1,2,1,1
50449,TTC,TTC,2,1,2,1,1
50451,WARD,WARD,2,1,2,1,1
50452,WARNER ELECTRIC INC,WARNER ELECTRIC INC,2,1,2,1,1
50454,WATTS WATER TECHNOLOGIES,WATTS WATER TECHNOLOGIES,1,1,1,1,1
50455,WERA,WERA,3,1,3,1,1
50456,WIKA INSTRUMENTS LTD,WIKA INSTRUMENTS LTD,1,1,1,1,1
50457,WINTERS INSTRUMENTS,WINTERS INSTRUMENTS,1,1,1,1,1
50458,YUKEN,YUKEN,1,1,1,1,1
50459,EATON AIRFLEX,EATON AIRFLEX,1,1,1,1,1
